,Unnamed: 0,english_text
0,0.0,Love is the one the greatest teacher of all by confronting our pain we rise from the fall Yes hell is while a person is confronting their pain as they gradually return to the celestial lane Only through illusions by upholding the lie are we disconnected and about to die Life is the freedom that within our heart flies rejecting the greed that we rationalize rejecting the myths that are born from fear eternal damnation is never near for hell is while a person is confronting their pain as we gradually return to the celestial lane what by our blood would God ever gain sending his children to bathe in eternal fire is that the power that we should admire no this is an image that tears me apart i can feel it is wrong in my heart for i would then have more love within me more then i could find in all eternity No life is the freedom that within our heart flies rejecting the greed that we rationalize as we ourselves do hypnotize caught up in the illusions caught up in the lies finding our power that awakens from within as love does appear and our new life will begin for they reflect from our hearts as we dive into this life angels or demons are born through our own strife.
1,1.0,"When we bite them hooks of lies we ourselves do demonize until they lead us into a wall where the spirit dies so we must reclaim our freedom to run them vallies wild we must reclaim our powers to fight for the sacred child Because there is no affection no connection to the spirit we are denied them sacred tools as words are spread against them sacred schools of how to live in harmony connected to the goddess and how to sing a few song´s from magical chants and gather some leaves from healing plants so we can find our connection so it may forever grow as we feel the deep embrace from the earth below So we can gaze upon what lays ahead and see the souls of the dead so them tears of fear will be shed as we are in wonder led, through a sacred healing (boom,boom,boom,boom,boom,) through a sacred healing When we are connected we know what´s right and wrong when we are connected we can hear the sacred song playing deep within our hearts So be strong as a tower find your inner power to recieve what´s already here through your intention tune into the dimension where you´re spirit runs them vallies wild Free from the shackles of devouring thought where intuition leads the way free from the cave like point of view as it burst´s we can see right through When in deep connection to the sacred song we can feel within our hearts what is right or wrong Yes we must take a look at this man made law it kills the wonder and the awe banning a sacred journey to the soul slowing down humanity´s role to emerge at one with the whole We just have to listen, to listen to the song it tells of adventurous ways ways that emerge from within ourselves ways that are sacred and pure and like rivers they flow out of us into the world as they shape the scene around Yes when we are connected we know what´s right or wrong we can hear the sacred song playing deep within our hearts showing us the tales and the parts to play."
2,2.0,I have been a prophet by seeing the error of my way´s so now i steer my vessel towards brighter day´s yes i have been the fool that in anger strode against the stream by doing or saying something hurtful to the team but i have also been the one that loves the one that made amends by choosing a better lifestyle by the grace of a second chance so even the night has begun to glisten bright by the moon above for my heart has begun to listen to the jewel of life that is love.
3,3.0,We are moving forever upward to the clouds to the sky to the neverending stars for many have found them treasures awaiting deep within they dance to the rythm of the soul they strive for the beauty of the whole for the unity of life they do sense them feelings of love so intense. Love has always been here from the ponds of wisdom she rose and many have found them jewels by diving deep within to the dimensions of beauty that many have shared to the palace of freedom and love where the air is light as a feather and them heavy winds are away when they do come to visit we must take shelter and pray within our own temples in touch with the flow in touch with the river of life. Through our awareness alone she whispers a secret the river gently flowing in her beauty she tells us to follow to follow the sacred flow Our connection this everflowing now opens the doors above to the all Father to the all Mother we fly on the wings of the dove in the realms of love she expands her wings and in humble delight we arrive to a treasured state of soul From within our temples of meditation the divine church of creation where the unity of life we do sense them feelings of love so intense Through our awareness alone she whispers a secret the river gently flowing in her beauty she tells us to follow to follow the sacred flow.
4,4.0,"To be wrapped in her presence is paradise even when the darkness surrounds she just sings a song into the night and them demons all take flight for hymns of fire do dwell in her soul fleeting expressions and love to the whole now finding it´s way into my heart never again shall i be in the dark now with this beauty a vision so fine submerged in the flow the adventure divine. She tells me, she tells me it´s just the beginning the beginning of jewels and dreams for our spiritual powers our roses divine will make us a palace that from heaven will shine wherever we´ll travel wherever we´ll be and them faries of earth will gather to see as they join the dance, the dance to be free and the birds do sing accordingly. Into the mysteries they will then lead us to a lake of wonder it´s might we do ponder but swiftly they drag us away through worlds and visions of sacred knowledge but the last part we must go alone them final peaks, them final hours we strive with intent to make them ours there is no other way to them golden towers within our hearts we reach for them flowers of life. Arnar Fells Snorrason."
5,5.0,"Just remember desember isn't fairthou some share that they don't careon most it snows and rainsu can tell from there vainsFamilies are not the sameVictims of systems gameAnd thousands hands who work for brands Fallowing demands and other comandsTo many families sufferingPeople looking other way bufferingWhen will the time comewhere everyone have save homePeople laying praying and they're sayingthey need saving they have no way of payingchildren are cryingpeople stealing and lyingchildren growing toughlife tought them living's roughThe crisis, the rich don't recognizesthey epecrisis others poor fails and risesThey don't have solutiononly their absulutionThey are narrow mindedSpoiled and blindedDon't blame me I just need to be freedon't you agree or are you angry at meDreams are like northen lights I'd sayu have to catch them before they fade awayHold on to them and make it bigThere's no reason to stay in shit and dig"
6,6.0,MAGNÚS POEMS© Í SAMSTARFI VIÐSKÁLDSKAPARGYÐGUNA HF©KYNNA MEÐ STOLTI: STÆRSTA LJÓÐAVIÐBURÐ SÖGUNNARKVÆÐIÐ SEM FARIÐ HEFUR SIGURFÖR UM HEIMINNOG NÚ Í FYRSTA SINN Á ÍSLENSKU!„ÞIÐ HÉLDUÐ AÐ HANN VÆRI BÚINN AÐ VERAEN HANN HEFUR ENGU GLEYMT“ÚR SMIÐJU SKÁLDSINS SEM FÆRÐI OKKUR LJÓÐ Á BORÐ VIÐ: „ DROPI Í MANNHAFINU“ OG„ VÖLUNDARHÚS EINMANALEIKANS“KEMUR EPÍSKT STÓRVIRKI Í 400 ERINDUMSEM LÆTUR ENGAN ÓSNORTINNGAGNRÝNENDUR ERU Á SAMA MÁLISTÓRBROTIÐ - NYTMAGNÞRUNGIÐ – EL PAISGUÐDÓMLEGT – DER SPIEGELMAGNÚS ER LJÓÐLISTIN HOLDI KLÆDD -MORGUNBLAÐIÐEKKI LÁTA ÞETTA EINSTAKA TÆKIFÆRI FRAMHJÁ ÞÉR FARATRYGGÐU ÞÉR MIÐA NÚNA!
7,7.0,sometimes it's not how widely you've smiledbut the reason why you stopped smiling sometimes we don't care who liedbut rather what was his purpose in lying sometimes it's not the times you've criedbut the tears you shed while cryingand sometimes it's not how many have died but who was with them while dyinghanna* “wasted on fixing all the problems that you made in your own head”
8,8.0,"Life in shadowsDeath in lightLife in meadowsDeath is plightThe world is crashingAnd so am IDrowning and splashingThey won't cryMy weight, my angstIt wears me downThe prince of painHe wears no crownCrawling, sweatingThrough yellow skinHis thoughts unsettlingHis eyes look grimHis last breath drawnHe thinks to fake itHis final dawnNo, she couldn't take itHe dies in painLonesome and coldHe was always saneBut never toldThe story endsFor the prince of hateA man with urgesNo one could sateHer eyes like the seaBright blue and deepBut containing the monstersWich upon him would creepAnger and jealousyEnvy and hate,They all worked togetherAnd sealed his fate"
9,9.0,"Still have hard on for poetry.Still get thrilleddrooling between the thighsfor the words to come out.Don't care, don't careif the public doesn't like the smellnor the words at the same timewondering why the Danegets jealous and walks into the roomof democracy and closes the doorof reality, dims the light of time asshe falls into the facial book of illusion.Is she counting:“How many cool friends do I have?”while wondering if it'sall about being cool and hype?as the world of pennyis burning up in flames bythe elite clan, of empoweredfear and immoral greed.At the meantime dear Mr. Chinaski:I want you to know thatyou're good enough postman patjust like me in the post office.Because when all comes to all thesmell of normalityis just like a virgin it'sjust like the handcuffed dreamslavery and it smells even more bitter.Without the smell we could have been so cooland so hyped and even got outof our closet disease,got out of their stupidity,vanity and married withsimplicity by the children,house and a car currency.We could as well had been a blinddate affair from the socialbook making love in ourwildest dreams in a corruptedhopeless night in a cheap, cheat,bonus supermarket as two John Does.Instead we just have to acceptthat we are bums and you are just aso called “ poet friend” ofmine reading up inmyspace as I observe;“The soldier, his wife and the bum” SoI can keep on looking cool andhyped twirling in the echo's ofmy existence in my bled outhearted country but still witha hard on for poetry."
