age,poem_date,sex,text,Unnamed: 0,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
34.0,23. des 2011,kvenmaður,"Just remember desember isn't fairthou some share that they don't careon most it snows and rainsu can tell from there vainsFamilies are not the sameVictims of systems gameAnd thousands hands who work for brands Fallowing demands and other comandsTo many families sufferingPeople looking other way bufferingWhen will the time comewhere everyone have save homePeople laying praying and they're sayingthey need saving they have no way of payingchildren are cryingpeople stealing and lyingchildren growing toughlife tought them living's roughThe crisis, the rich don't recognizesthey epecrisis others poor fails and risesThey don't have solutiononly their absulutionThey are narrow mindedSpoiled and blindedDon't blame me I just need to be freedon't you agree or are you angry at meDreams are like northen lights I'd sayu have to catch them before they fade awayHold on to them and make it bigThere's no reason to stay in shit and dig",0,0,0.0,0.5998,"love, heart, eye, time, leave, mind, world, tear, fall, dream","['love', 'great', 'teacher', 'confront', 'pain', 'rise', 'fall', 'hell', 'person', 'confront', 'pain', 'gradually', 'return', 'celestial', 'lane', 'illusion', 'uphold', 'lie', 'disconnect', 'die', 'life', 'freedom', 'heart', 'fly', 'reject', 'reject', 'myth', 'bear', 'fear', 'eternal', 'damnation', 'never', 'person', 'confront', 'pain', 'gradually', 'return', 'celestial', 'lane', 'blood', 'would', 'ever', 'gain', 'send', 'child', 'bathe', 'eternal', 'fire', 'power', 'admire', 'image', 'tear', 'apart', 'feel', 'wrong', 'heart', 'would', 'love', 'could', 'find', 'eternity', 'life', 'freedom', 'heart', 'fly', 'reject', 'catch', 'illusion', 'catch', 'lie', 'find', 'power', 'awaken', 'love', 'appear', 'new', 'life', 'begin', 'reflect', 'heart', 'dive', 'life', 'angel', 'demon', 'bear', 'strife']"
,15. apr 2013,,Love is the one the greatest teacher of all by confronting our pain we rise from the fall Yes hell is while a person is confronting their pain as they gradually return to the celestial lane Only through illusions by upholding the lie are we disconnected and about to die Life is the freedom that within our heart flies rejecting the greed that we rationalize rejecting the myths that are born from fear eternal damnation is never near for hell is while a person is confronting their pain as we gradually return to the celestial lane what by our blood would God ever gain sending his children to bathe in eternal fire is that the power that we should admire no this is an image that tears me apart i can feel it is wrong in my heart for i would then have more love within me more then i could find in all eternity No life is the freedom that within our heart flies rejecting the greed that we rationalize as we ourselves do hypnotize caught up in the illusions caught up in the lies finding our power that awakens from within as love does appear and our new life will begin for they reflect from our hearts as we dive into this life angels or demons are born through our own strife.,1,1,0.0,0.6594,"love, heart, eye, time, leave, mind, world, tear, fall, dream","['lie', 'demonize', 'lead', 'die', 'must', 'reclaim', 'freedom', 'run', 'vallie', 'wild', 'must', 'reclaim', 'power', 'fight', 'sacred', 'child', 'affection', 'connection', 'spirit', 'deny', 'sacred', 'tool', 'word', 'spread', 'sacred', 'school', 'live', 'harmony', 'connect', 'goddess', 'sing', 'song', 'magical', 'chant', 'gather', 'leave', 'heal', 'plant', 'find', 'connection', 'may', 'forever', 'grow', 'feel', 'deep', 'embrace', 'earth', 'gaze', 'lay', 'ahead', 'see', 'soul', 'dead', 'tear', 'fear', 'shed', 'wonder', 'lead', 'sacred', 'healing', 'boom', 'boom', 'boom', 'boom', 'boom', 'sacred', 'healing', 'connect', 'know', 'right', 'wrong', 'connect', 'hear', 'sacred', 'song', 'play', 'deep', 'heart', 'strong', 'tower', 'find', 'inner', 'power', 'recieve', 'already', 'intention', 'tune', 'dimension', 'spirit', 'run', 'vallie', 'wild', 'free', 'shackle', 'devour', 'think', 'intuition', 'lead', 'way', 'free', 'cave', 'point', 'view', 'burst', 'right', 'deep', 'connection', 'sacred', 'song', 'feel', 'heart', 'right', 'wrong', 'must', 'take', 'look', 'man', 'make', 'law', 'kill', 'ban', 'sacred', 'soul', 'slow', 'humanity', 'role', 'emerge', 'whole', 'listen', 'listen', 'song', 'tell', 'adventurous', 'way', 'way', 'emerge', 'way', 'sacre', 'pure', 'river', 'flow', 'shape', 'scene', 'around', 'connected', 'know', 'right', 'wrong', 'hear', 'sacred', 'song', 'play', 'deep', 'heart', 'show', 'tale', 'part', 'play']"
,28. mar 2013,,"When we bite them hooks of lies we ourselves do demonize until they lead us into a wall where the spirit dies so we must reclaim our freedom to run them vallies wild we must reclaim our powers to fight for the sacred child Because there is no affection no connection to the spirit we are denied them sacred tools as words are spread against them sacred schools of how to live in harmony connected to the goddess and how to sing a few song´s from magical chants and gather some leaves from healing plants so we can find our connection so it may forever grow as we feel the deep embrace from the earth below So we can gaze upon what lays ahead and see the souls of the dead so them tears of fear will be shed as we are in wonder led, through a sacred healing (boom,boom,boom,boom,boom,) through a sacred healing When we are connected we know what´s right and wrong when we are connected we can hear the sacred song playing deep within our hearts So be strong as a tower find your inner power to recieve what´s already here through your intention tune into the dimension where you´re spirit runs them vallies wild Free from the shackles of devouring thought where intuition leads the way free from the cave like point of view as it burst´s we can see right through When in deep connection to the sacred song we can feel within our hearts what is right or wrong Yes we must take a look at this man made law it kills the wonder and the awe banning a sacred journey to the soul slowing down humanity´s role to emerge at one with the whole We just have to listen, to listen to the song it tells of adventurous ways ways that emerge from within ourselves ways that are sacred and pure and like rivers they flow out of us into the world as they shape the scene around Yes when we are connected we know what´s right or wrong we can hear the sacred song playing deep within our hearts showing us the tales and the parts to play.",2,2,0.0,0.5135,"love, heart, eye, time, leave, mind, world, tear, fall, dream","['error', 'way', 'steer', 'vessel', 'bright', 'day', 'fool', 'anger', 'say', 'hurtful', 'team', 'also', 'love', 'make', 'amend', 'choose', 'well', 'lifestyle', 'grace', 'second', 'chance', 'even', 'night', 'begin', 'glisten', 'bright', 'heart', 'begin', 'listen', 'love']"
,19. mar 2013,,I have been a prophet by seeing the error of my way´s so now i steer my vessel towards brighter day´s yes i have been the fool that in anger strode against the stream by doing or saying something hurtful to the team but i have also been the one that loves the one that made amends by choosing a better lifestyle by the grace of a second chance so even the night has begun to glisten bright by the moon above for my heart has begun to listen to the jewel of life that is love.,3,3,0.0,0.6844,"love, heart, eye, time, leave, mind, world, tear, fall, dream","['move', 'forever', 'upward', 'cloud', 'sky', 'neverende', 'star', 'many', 'find', 'treasure', 'await', 'deep', 'dance', 'rythm', 'soul', 'strive', 'beauty', 'whole', 'unity', 'life', 'sense', 'feeling', 'love', 'intense', 'love', 'always', 'pond', 'wisdom', 'rise', 'many', 'find', 'jewel', 'dive', 'deep', 'dimension', 'beauty', 'many', 'share', 'palace', 'freedom', 'love', 'air', 'light', 'feather', 'heavy', 'wind', 'away', 'come', 'visit', 'must', 'take', 'shelter', 'pray', 'temple', 'touch', 'river', 'life', 'awareness', 'alone', 'whisper', 'secret', 'gently', 'flow', 'beauty', 'tell', 'follow', 'follow', 'sacred', 'flow', 'connection', 'everflowing', 'open', 'door', 'mother', 'fly', 'wing', 'dove', 'realm', 'love', 'expand', 'wing', 'humble', 'delight', 'arrive', 'treasured', 'state', 'soul', 'temple', 'meditation', 'unity', 'life', 'sense', 'feeling', 'love', 'intense', 'awareness', 'alone', 'whisper', 'secret', 'gently', 'flow', 'beauty', 'tell', 'follow', 'follow', 'sacred', 'flow']"
,18. mar 2013,,We are moving forever upward to the clouds to the sky to the neverending stars for many have found them treasures awaiting deep within they dance to the rythm of the soul they strive for the beauty of the whole for the unity of life they do sense them feelings of love so intense. Love has always been here from the ponds of wisdom she rose and many have found them jewels by diving deep within to the dimensions of beauty that many have shared to the palace of freedom and love where the air is light as a feather and them heavy winds are away when they do come to visit we must take shelter and pray within our own temples in touch with the flow in touch with the river of life. Through our awareness alone she whispers a secret the river gently flowing in her beauty she tells us to follow to follow the sacred flow Our connection this everflowing now opens the doors above to the all Father to the all Mother we fly on the wings of the dove in the realms of love she expands her wings and in humble delight we arrive to a treasured state of soul From within our temples of meditation the divine church of creation where the unity of life we do sense them feelings of love so intense Through our awareness alone she whispers a secret the river gently flowing in her beauty she tells us to follow to follow the sacred flow.,4,4,0.0,0.6866,"love, heart, eye, time, leave, mind, world, tear, fall, dream","['wrap', 'presence', 'even', 'darkness', 'surround', 'night', 'demon', 'take', 'flight', 'hymn', 'fire', 'soul', 'fleeting', 'expression', 'love', 'whole', 'finding', 'way', 'heart', 'never', 'shall', 'dark', 'beauty', 'vision', 'fine', 'submerge', 'flow', 'adventure', 'divine', 'tell', 'tell', 'begin', 'begin', 'jewel', 'dream', 'spiritual', 'power', 'rose', 'divine', 'make', 'palace', 'shine', 'wherever', 'travel', 'wherever', 'farie', 'earth', 'gather', 'see', 'join', 'dance', 'dance', 'free', 'bird', 'sing', 'accordingly', 'mystery', 'lead', 'wonder', 'may', 'ponder', 'swiftly', 'drag', 'world', 'vision', 'sacred', 'knowledge', 'last', 'part', 'must', 'go', 'alone', 'final', 'peak', 'final', 'hour', 'strive', 'intent', 'make', 'way', 'golden', 'tower', 'heart', 'reach', 'flower', 'fell']"
,17. mar 2013,,"To be wrapped in her presence is paradise even when the darkness surrounds she just sings a song into the night and them demons all take flight for hymns of fire do dwell in her soul fleeting expressions and love to the whole now finding it´s way into my heart never again shall i be in the dark now with this beauty a vision so fine submerged in the flow the adventure divine. She tells me, she tells me it´s just the beginning the beginning of jewels and dreams for our spiritual powers our roses divine will make us a palace that from heaven will shine wherever we´ll travel wherever we´ll be and them faries of earth will gather to see as they join the dance, the dance to be free and the birds do sing accordingly. Into the mysteries they will then lead us to a lake of wonder it´s might we do ponder but swiftly they drag us away through worlds and visions of sacred knowledge but the last part we must go alone them final peaks, them final hours we strive with intent to make them ours there is no other way to them golden towers within our hearts we reach for them flowers of life. Arnar Fells Snorrason.",5,5,1.0,0.5324,"feel, make, life, day, die, live, give, thing, find, cry","['remember', 'snow', 'rainsu', 'tell', 'gameand', 'thousand', 'hand', 'work', 'brand', 'fallowe', 'demand', 'comandsto', 'many', 'family', 'sufferingpeople', 'looking', 'way', 'bufferingwhen', 'time', 'save', 'homepeople', 'lay', 'pray', 'sayingthey', 'need', 'save', 'lyingchildren', 'grow', 'toughlife', 'tought', 'live', 'crisis', 'rich', 'epecrisis', 'other', 'poor', 'fail', 'solutiononly', 'narrow', 'mindedspoiled', 'blame', 'need', 'agree', 'angry', 'medream', 'fade', 'awayhold', 'make', 'bigthere', 'reason', 'stay', 'shit', 'dig']"
34.0,18. júl 2006,karlmaður,"That winding route we all do missa correctified path and a deadly kissSee the willows of shadow see the morning glow choose the path before uchoose which drug u blowsee the morning light see the sunset shimmer see the stars glimmer Look, please again at that morning lightthen you´ll seeyou lived your live and died without a single fight",6,6,0.0,0.5192,"love, heart, eye, time, leave, mind, world, tear, fall, dream","['smiðju', 'skaldsin']"
21.0,24. mar 2008,kvenmaður,"I held your hand and smiled so brightThings unspoken, things so fineMaybe it didnt mean much to youbut it ment the world to meAnd maybe the things that I dowasnt what you hoped to beI held your hand and smiled so brightThings unspoken, things so fineMaybe we just didnt know it allWe reached for a star that didnt shineAnd maybe we didnt know how to love or how to fallBut no matter what, you once were mineI held your hand and smiled so brightThings unspoken, things that died ""All we have to decide is what we do with the time that is given to us""",7,7,1.0,0.5714,"feel, make, life, day, die, live, give, thing, find, cry","['sometimes', 'widely', 'smiledbut', 'reason', 'stop', 'smile', 'sometimes', 'care', 'liedbut', 'rather', 'purpose', 'lying', 'sometimes', 'time', 'criedbut', 'tear', 'shed', 'cryingand', 'sometimes', 'many', 'die', 'waste', 'fix', 'problem', 'make', 'head']"
21.0, 3. jan 2008,kvenmaður,"And if I could, I would keep itKeep this felings and this smileForever…Like the teardrop I will fallInto the darkness or down with the sunIt doesn´t matter, I´m with you Forever….And if I could, I would holt itHold this feelings around meForever…And if I could, I would love youYou and only youforever…. ""All we have to decide is what we do with the time that is given to us""",8,8,0.0,0.5399,"love, heart, eye, time, leave, mind, world, tear, fall, dream","['idrowne', 'weight', 'wear', 'wear', 'crowncrawle', 'thought', 'eye', 'look', 'grimhis', 'last', 'breath', 'drawnhe', 'think', 'fake', 'final', 'dawnno', 'take', 'ithe', 'die', 'painlonesome', 'coldhe', 'always', 'sanebut', 'never', 'man', 'could', 'sateher', 'eye', 'seabright', 'deepbut', 'contain', 'monsterswich', 'would', 'creepanger', 'work', 'seal', 'fate']"
21.0,26. des 2007,kvenmaður,"I remember our first timeeye to eye, I was so wrongI didn´t ever think of thisThink of this “you and I”I remember how it all changedhand to hand, it felt so rightYour smile filled me with feelingsfeelings that I didn´t know of beforeI remember our first kissand how I ligheted upWe had so many thingsthins that I cant have backI remember how much I growHeart to heart, I loved it allI never thought we´d be apartapart, still loving, for this long ""All we have to decide is what we do with the time that is given to us""",9,9,0.0,0.5833,"love, heart, eye, time, leave, mind, world, tear, fall, dream","['still', 'hard', 'poetry', 'still', 'thighsfor', 'word', 'come', 'care', 'public', 'smellnor', 'word', 'timewondere', 'daneget', 'jealous', 'walk', 'roomof', 'democracy', 'close', 'reality', 'light', 'time', 'asshe', 'fall', 'facial', 'book', 'illusion', 'count', 'many', 'cool', 'friend', 'wonder', 'sall', 'cool', 'hype', 'world', 'burning', 'flame', 'bythe', 'elite', 'clan', 'immoral', 'dear', 'want', 'know', 'good', 'come', 'handcuff', 'dreamslavery', 'smell', 'even', 'bitter', 'smell', 'could', 'cooland', 'hype', 'even', 'get', 'outof', 'closet', 'disease', 'get', 'stupidity', 'vanity', 'marry', 'withsimplicity', 'child', 'house', 'car', 'currency', 'could', 'well', 'blinddate', 'affair', 'make', 'love', 'ourwild', 'dream', 'night', 'cheap', 'cheat', 'bonus', 'supermarket', 'instead', 'acceptthat', 'bum', 'call', 'poet', 'read', 'observe', 'soldier', 'keep', 'look', 'cool', 'andhype', 'twirl', 'echo', 'ofmy', 'existence', 'bleed', 'outhearted', 'country', 'still', 'witha', 'hard', 'poetry']"
